Item,Item Name,Item Group,Warehouse,Stock UOM,Balance Qty,Balance Value,Opening Qty,Opening Value,In Qty,In Value,Out Qty,Out Value,Valuation Rate,Reserved Stock,Company
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Stores - NL,Nos,21171,40406035.5,24177,46131425.51,34,66752.39,3040,5792142.4,1908.556,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Adeyemo Adeola LOGISTICS - Novacare Ltd - NL,Nos,101,194424.8,101,194424.8,0,0,0,0,1924.998,0,Novacare Ltd
Hair Dye Shampoo,Hair Dye Shampoo,Novacare,PELICAN DELIVERY AND LOGISTICS SERVICES LOGISTICS - Novacare Ltd - NL,Nos,63,315000,63,315000,0,0,0,0,5000,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,KENNEDY OROWO EDEYE Logistics - Novacare Ltd - NL,Nos,252,480138.12,367,699248.77,0,0,115,219110.65,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Efe Brendon Avwia Logistics - Novacare Ltd - NL,Nos,321,413604.51,436,632715.16,0,0,115,219110.65,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Ibylogistics Limited LOGISTICS - Novacare Ltd - NL,Nos,611,1178347.91,680,1309814.3,0,0,69,131466.39,1928.556,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Chidimma maryjane Iloegbunam Logistics - Novacare Ltd - NL,Nos,604,1150863.04,604,1150863.04,0,0,0,0,1905.402,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Hambolu babatunde philips Logistics - Novacare Ltd - NL,Nos,465,883969.15,597,1135470.07,0,0,132,251500.92,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,BLUE AMAZON LOGISTICS LTD LOGISTICS - Novacare Ltd - NL,Nos,421,810829.16,439,845496.44,0,0,18,34667.28,1925.96,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Changfa Jesse David - Novacare Ltd - NL,Nos,4,7621.24,4,7621.24,0,0,0,0,1905.31,0,Novacare Ltd
Hair Dye Shampoo,Hair Dye Shampoo,Novacare,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,17,80000,17,80000,0,0,0,0,5000,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Teekina kuroakegha Gbeneteh Logistics - Novacare Ltd - NL,Nos,124,239393.16,-152,-285360.08,320,609699.2,44,84945.96,1930.59,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Olufunke Babalola Logistics - Novacare Ltd - NL,Nos,361,688284.31,410,782203.1,0,0,49,93918.79,1906.605,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Emmanuel Nnamdi Ugwu Logistics - Novacare Ltd - NL,Nos,152,298179.92,173,339375.83,0,0,21,41195.91,1961.71,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Omoga Victor Ohe-obe Logistics - Novacare Ltd - NL,Nos,331,630657.61,443,844052.33,0,0,112,213394.72,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Oluwadamilare Emmanuel Logistics - Novacare Ltd - NL,Nos,373,712280.8,468,893692.8,0,0,95,181412,1909.6,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Etimbuk Gregory Logistics - Novacare Ltd - NL,Nos,654,1246072.74,414,788798.34,320,609699.2,80,152424.8,1905.31,0,Novacare Ltd
Grazer Herbal Balm,Grazer Herbal Balm,Novacare,YAYA JOB - Novacare Ltd - NL,Nos,19,47500,19,47500,0,0,0,0,2500,0,Novacare Ltd
Nail Repair,Nail Repair,Novacare,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,3,146.97,3,146.97,0,0,0,0,1248.99,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Victor Ogbenyi Logistics - Novacare Ltd - NL,Nos,565,944500.15,502,824465.62,320,609699.2,257,489664.67,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Enny logistics LOGISTICS - Novacare Ltd - NL,Nos,526,257053.32,440,94684.8,160,304849.6,74,142481.08,1919.303,0,Novacare Ltd
Clear Vision Tea,Clear Vision Tea,Novacare,RAPH XPRESS LOGISTICS - Novacare Ltd - NL,Nos,25,56410.25,25,56410.25,0,0,0,0,2256.41,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,Chidi Godstime Egege Logistics - Novacare Ltd - NL,Nos,252,480138.12,357,680195.67,0,0,105,200057.55,1905.31,0,Novacare Ltd
Grazer Herbal Tea,Grazer Herbal Tea,Novacare,YAYA JOB - Novacare Ltd - NL,Nos,410,802542.2,410,802542.2,0,0,0,0,1957.42,0,Novacare Ltd
